age,income,credit,employment,loans,Decision,Reason
25,50000,720,employed,0,Approved,All criteria met.
61,100000,800,employed,0,Rejected,Age must be between 18 and 60.
30,20000,750,employed,0,Rejected,"Annual income must be above 30,000."
40,60000,600,employed,0,Rejected,Credit score must be 650 or higher.
35,45000,700,unemployed,0,Rejected,Must be employed or self-employed.
28,55000,750,self-employed,2,Rejected,Cannot have more than 1 existing loan.
18,35000,700,employed,0,Approved,All criteria met.
60,32000,680,employed,1,Approved,All criteria met.
45,100000,850,self-employed,0,Approved,All criteria met.
22,30000,700,employed,0,Rejected,"Annual income must be above 30,000."
50,40000,650,employed,0,Approved,All criteria met.
17,40000,700,employed,0,Rejected,Age must be between 18 and 60.
55,75000,720,employed,0,Approved,All criteria met.
29,48000,680,self-employed,1,Approved,All criteria met.
33,52000,670,employed,0,Approved,All criteria met.
